Country Name,Country Code,2018
Aruba,ABW,30253.27936
Africa Eastern and Southern,AFE,1530.161917
Afghanistan,AFG,493.7565814
Africa Western and Central,AFW,1695.959215
Angola,AGO,3289.643995
Albania,ALB,5284.380184
Andorra,AND,41791.96984
Arab World,ARB,6568.984052
United Arab Emirates,ARE,43839.32449
Argentina,ARG,11633.49801
Armenia,ARM,4220.540321
American Samoa,ASM,11557.67116
Antigua and Barbuda,ATG,16673.4369
Australia,AUS,57354.96405
Austria,AUT,51453.14702
Azerbaijan,AZE,4739.84171
Burundi,BDI,271.7524964
Belgium,BEL,47554.74631
Benin,BEN,1240.830962
Burkina Faso,BFA,813.0996894
Bangladesh,BGD,1698.132081
Bulgaria,BGR,9427.73043
Bahrain,BHR,23991.04139
"Bahamas, The",BHS,33767.94119
Bosnia and Herzegovina,BIH,6072.184623
Belarus,BLR,6330.075246
Belize,BLZ,5001.422157
Bermuda,BMU,113023.1856
Bolivia,BOL,3548.59078
Brazil,BRA,9151.445253
Barbados,BRB,17745.25537
Brunei Darussalam,BRN,31628.47626
Bhutan,BTN,3243.477437
Botswana,BWA,8279.818457
Central African Republic,CAF,475.9538495
Canada,CAN,46454.74339
Central Europe and the Baltics,CEB,16034.71497
Switzerland,CHE,86429.50082
Channel Islands,CHI,
Chile,CHL,15888.14436
China,CHN,9976.677137
Cote d'Ivoire,CIV,2314.050958
Cameroon,CMR,1534.492241
"Congo, Dem. Rep.",COD,557.0644117
"Congo, Rep.",COG,2601.410483
Colombia,COL,6729.583332
Comoros,COM,1415.955164
Cabo Verde,CPV,3617.347445
Costa Rica,CRI,12468.57529
Caribbean small states,CSS,10250.43407
Cuba,CUB,8824.194008
Curacao,CUW,19630.89349
Cayman Islands,CYM,86059.73922
Cyprus,CYP,29089.47133
Czech Republic,CZE,23419.73561
Germany,DEU,47787.16051
Djibouti,DJI,3141.879389
Dominica,DMA,7693.771453
Denmark,DNK,61598.5367
Dominican Republic,DOM,8050.644076
Algeria,DZA,4153.956234
East Asia & Pacific (excluding high income),EAP,7968.089975
Early-demographic dividend,EAR,3526.975044
East Asia & Pacific,EAS,11318.84036
Europe & Central Asia (excluding high income),ECA,8206.596661
Europe & Central Asia,ECS,25221.76086
Ecuador,ECU,6295.934662
"Egypt, Arab Rep.",EGY,2537.125185
Euro area,EMU,39997.55475
Eritrea,ERI,
Spain,ESP,30374.52104
Estonia,EST,23159.39249
Ethiopia,ETH,771.5248663
European Union,EUU,35703.68953
Fragile and conflict affected situations,FCS,2021.725791
Finland,FIN,50013.2942
Fiji,FJI,6317.437799
France,FRA,41526.41466
Faroe Islands,FRO,62918.14619
"Micronesia, Fed. Sts.",FSM,3568.291016
Gabon,GAB,7956.627816
United Kingdom,GBR,42992.80372
Georgia,GEO,4722.787783
Ghana,GHA,2194.232477
Gibraltar,GIB,
Guinea,GIN,955.1112811
"Gambia, The",GMB,732.7207273
Guinea-Bissau,GNB,802.7673851
Equatorial Guinea,GNQ,10005.61679
Greece,GRC,19765.99645
Grenada,GRD,10486.37759
Greenland,GRL,54470.95639
Guatemala,GTM,4478.424646
Guam,GUM,36502.38282
Guyana,GUY,6145.818743
High income,HIC,45114.36039
"Hong Kong SAR, China",HKG,48542.68187
Honduras,HND,2510.322943
Heavily indebted poor countries (HIPC),HPC,979.8899885
Croatia,HRV,15014.08502
Haiti,HTI,1435.350852
Hungary,HUN,16411.44111
IBRD only,IBD,6415.154649
IDA & IBRD total,IBT,5127.061541
IDA total,IDA,1364.109464
IDA blend,IDB,1747.506594
Indonesia,IDN,3893.859578
IDA only,IDX,1172.228221
Isle of Man,IMN,89112.66772
India,IND,1996.915087
Not classified,INX,
Ireland,IRL,79297.7292
"Iran, Islamic Rep.",IRN,3598.483454
Iraq,IRQ,5523.078375
Iceland,ISL,74348.36228
Israel,ISR,41704.82857
Italy,ITA,34608.6756
Jamaica,JAM,5359.993789
Jordan,JOR,4308.151074
Japan,JPN,39159.42356
Kazakhstan,KAZ,9812.626371
Kenya,KEN,1708.001428
Kyrgyz Republic,KGZ,1308.139779
Cambodia,KHM,1512.126989
Kiribati,KIR,1698.329587
St. Kitts and Nevis,KNA,19276.52127
"Korea, Rep.",KOR,33422.94421
Kuwait,KWT,33399.06048
Latin America & Caribbean (excluding high income),LAC,8395.074358
Lao PDR,LAO,2542.489769
Lebanon,LBN,8012.539237
Liberia,LBR,677.3223191
Libya,LBY,7877.12461
St. Lucia,LCA,11357.82657
Latin America & Caribbean,LCN,9158.440964
Least developed countries: UN classification,LDC,1065.291106
Low income,LIC,795.9531592
Liechtenstein,LIE,180366.7152
Sri Lanka,LKA,4058.803511
Lower middle income,LMC,2264.39294
Low & middle income,LMY,4944.432719
Lesotho,LSO,1192.48432
Late-demographic dividend,LTE,9849.861213
Lithuania,LTU,19166.81227
Luxembourg,LUX,116597.2956
Latvia,LVA,17849.5593
"Macao SAR, China",MAC,87554.71386
St. Martin (French part),MAF,
Morocco,MAR,3226.982794
Monaco,MCO,185978.6093
Moldova,MDA,4230.363037
Madagascar,MDG,518.401123
Maldives,MDV,10276.77339
Middle East & North Africa,MEA,7546.701353
Mexico,MEX,9686.514244
Marshall Islands,MHL,3793.550983
Middle income,MIC,5399.040431
North Macedonia,MKD,6087.468311
Mali,MLI,894.8047765
Malta,MLT,30672.29224
Myanmar,MMR,1279.089756
Middle East & North Africa (excluding high income),MNA,3501.870767
Montenegro,MNE,8850.094631
Mongolia,MNG,4134.979372
Northern Mariana Islands,MNP,22886.67405
Mozambique,MOZ,503.3179252
Mauritania,MRT,1601.291932
Mauritius,MUS,11208.3273
Malawi,MWI,535.3513457
Malaysia,MYS,11377.6542
North America,NAC,61381.71985
Namibia,NAM,5587.985613
New Caledonia,NCL,
Niger,NER,572.4301385
Nigeria,NGA,2027.778549
Nicaragua,NIC,2014.570287
Netherlands,NLD,53018.62936
Norway,NOR,82267.80932
Nepal,NPL,1178.525932
Nauru,NRU,11614.66508
New Zealand,NZL,43306.07
OECD members,OED,39268.56338
Oman,OMN,16521.20623
Other small states,OSS,14402.75104
Pakistan,PAK,1482.213067
Panama,PAN,15544.73352
Peru,PER,6957.793411
Philippines,PHL,3252.110274
Palau,PLW,15657.17715
Papua New Guinea,PNG,2801.371393
Poland,POL,15468.40941
Pre-demographic dividend,PRE,1449.099681
Puerto Rico,PRI,31604.70151
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,23551.04829
Paraguay,PRY,5782.78455
West Bank and Gaza,PSE,3562.330943
Pacific island small states,PSS,4336.985308
Post-demographic dividend,PST,45364.58418
French Polynesia,PYF,
Qatar,QAT,65907.94843
Romania,ROU,12398.98198
Russian Federation,RUS,11287.35528
Rwanda,RWA,783.6371628
South Asia,SAS,1894.169093
Saudi Arabia,SAU,23337.01755
Sudan,SDN,825.8689411
Senegal,SEN,1458.069093
Singapore,SGP,66679.04649
Solomon Islands,SLB,2411.862926
Sierra Leone,SLE,533.9915333
El Salvador,SLV,4052.624775
San Marino,SMR,48996.59225
Somalia,SOM,314.542678
Serbia,SRB,7252.401858
Sub-Saharan Africa (excluding high income),SSA,1595.496495
South Sudan,SSD,
Sub-Saharan Africa,SSF,1596.825251
Small states,SST,13040.53773
Sao Tome and Principe,STP,1953.513257
Suriname,SUR,6938.086981
Slovak Republic,SVK,19364.6201
Slovenia,SVN,26103.16026
Sweden,SWE,54589.06039
Eswatini,SWZ,4105.897212
Sint Maarten (Dutch part),SXM,29160.10381
Seychelles,SYC,16390.82491
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,29553.1367
Chad,TCD,726.1510071
East Asia & Pacific (IDA & IBRD countries),TEA,8051.812548
Europe & Central Asia (IDA & IBRD countries),TEC,8868.02881
Togo,TGO,901.5230169
Thailand,THA,7296.879608
Tajikistan,TJK,853.2188734
Turkmenistan,TKM,6967.375043
Latin America & the Caribbean (IDA & IBRD countries),TLA,9001.310135
Timor-Leste,TLS,1230.22528
Middle East & North Africa (IDA & IBRD countries),TMN,3500.262154
Tonga,TON,4740.700272
South Asia (IDA & IBRD),TSA,1894.169093
Sub-Saharan Africa (IDA & IBRD countries),TSS,1596.825251
Trinidad and Tobago,TTO,17037.86236
Tunisia,TUN,3438.805067
Turkey,TUR,9453.196172
Tuvalu,TUV,3701.709255
Tanzania,TZA,1042.838759
Uganda,UGA,770.2570601
Ukraine,UKR,3096.817402
Upper middle income,UMC,9483.693306
Uruguay,URY,18703.86029
United States,USA,63064.41841
Uzbekistan,UZB,1529.082864
St. Vincent and the Grenadines,VCT,7361.400962
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,37233.29689
Vietnam,VNM,2566.447487
Vanuatu,VUT,3125.404999
World,WLD,11372.24782
Samoa,WSM,4188.571058
Kosovo,XKX,4419.914327
"Yemen, Rep.",YEM,824.117718
South Africa,ZAF,6372.605655
Zambia,ZMB,1516.3711
Zimbabwe,ZWE,1352.162653
